,text
4064,I don’t want to isolate but I have no choice
4065,"People should rise and protest to raise wages because they&#39;re too low for the average family to live with dignity and happiness.<br> Higher wages are replaced with credit cards and we have become bank (debt) slaves.<br> Of course we will be blamed for all their crimes and evils, we will be blamed for our financial suffering and abuse, we will be blamed for the environment hysteria, and forced to believe every lie they shove down our throats!<br>  There&#39;s a common crisis around the world of governments not working honestly for the people they should represent, and they get bribed to serve the International oligarchs instead of their own people.<br> The oppressive Kabbalah that rules over us promotes all kinds of vice to distract us from seeing all the destruction of our civilizations at their hands.<br> As E Michael Jones say (oligachs hate him and do anythingto prevent you from reading his books) ,<br> &quot;Sexual Liberation is a form of Political Control.&quot;"
4066,I know the value of compassion but the fact others don&#39;t know breaks my heart 💔
4067,@robinbrowne5419 political parties calling their enemies horrible names and saying they’re going to destroy the world so that people will hate them. Current propaganda.
4068,"I envy you so much right now, toxic parents are truly no joke, they can either be absolutely your own worst villains, or a dangerous toxic learner behavior to becoming a monster. It’s so fucked up."
4069,Democrats. End of segment
4070,It was cargo ferry modified to passenger ferry
4071,"North Koreans could always hope to be rescued by Trump if he sends in SEAL TEAM 6.<br><br><br><br><br><br>Oh, wait.....Nevermind."
4072,"They want a two weeks notice from you, but they give you a two minute notice.  Here&#39;s something, tell them what the problem is so they can work on it."
4073,"I am alone…..my hubby passed away this last year, day after Thanksgiving. My children aren’t able to be around. Make sure you know as much as possible, like she says……. Be prepared, be more independent, self sufficient."
4074,To pay for her rent and her then 2 teenage boys rent.
4075,"Classic leopard eats your face, vote for the president who has no plan for healthcare and is in the pocket of big medicine and get what you voted for."
4076,"Our people are uneducated this is why they do this .they put them before there <a href=""http://kids.is/"">kids.is</a> the opposite we should be doing  these are not Afghans they came from another countrys.alk this is bullshit anyone do this shit is not human."
4077,You have to wonder if the person who betrayed her is still alive today. Or if he felt any regret at all.
4078,"American employment laws can be very cruel. I was a coach cleaner for Metro North Railroad for exactly one month before they terminated me for literally the exact same reason Brittany. It was a gut punch to be terminated from a job so quickly that I had waited 14 months to get. From the time I first applied to when I started work, it took 14 months and I lasted 30 days. Unfortunately when you’re on probation, the company can do whatever the hell they want and that’s what the MTA did to me. It can be very cruel. The United States also does not have a federal law that mandates paid time off for employees of any company. If the company you work for wants to give you paid time off, they can go right ahead and do that, if they don’t, sorry!! Too bad."
4079,Aheisa was 6 when  Mohamed married  her
4080,"Dumbass westerners, in my country someone would pummel this guy into a pavement wtf did you all allow to happen to your society"
4081,"@Southernstereotype lol nowhere in the world has a native culture been completely eradicated than the USA. dont generalize. Yes, it doesnt help current affairs today but that wasnt a part of this discussion. Have some remorse and consideration for the Native Americans that were slaughtered by your ancestors so you could sit in this land and talk about it."
4082,"It is VERY effective for the company. The employees pay the price with their health later on. <br><br>There are companies, sometimes industries, that are sucking all the living energy out of their employ and then they simply replace them.<br><br>This is how our society gets great things. All mega civil engineering project were done by people working 55h+ weeks."
4083,Lol Ram marrying 6yo Krishna 160000 lol
4084,"I stopped forgiveness left Facebook this evening and the last time they  tried  to gaslight me I just laughed .<br>It was ridiculous I’ve also kept my cool and told them off they even sent more people into the community to take me on , it’s pathetic .<br><br><br>It is cold and focused. And it does work. <br>Thanks for you’re advice I needed to get someone else’s viewpoint <br>As an empath we have always been taken for granted anyway I will no longer accept their pain <br>They can keep it I don’t want it <br>It’s there’s for good I hope they are glad.<br>I shall never go back to being their door mat or their using everyone else in their little control game.<br><br>The  narcissist next door was arrested the  other evening she also targeted another person i the street because they are a good mum and they have a nice kid ,<br><br>They the narcissist are nosy nasty and gossiping People<br>I don’t need there projection of who they are onto me or them judging me by who they are.<br><br>Thank you I will remain healed positive about who I am <br>I control myself because that the only person we can control in reality <br> <br>I love who I am I know my worth o will never forget that and I shall thrive and move forward <br>I also like who I am now<br>And I will never expect an apology or closure my closure is my clarity <br>And my boudoirs which I will not let them cross hence leave Facebook when they stalked my poetry page <br>And hacked into my fbook app and started changing the narrative of what o had said my words on my posts about   Mysoginistic narcissistic abuses of us a  empathic women. I don’t know who this person is for sure but my intuition says it’s someone with power maybe a police officer or someone with money and contacts enough to target women in my area.and arrange for pele to be moved into the area that are also narcissist <br>There are 4 now. Possible 5 <br>Plus the original one who has hacked my fbook app and pages <br><br>Education does help us become aware of what has been happening  to us so thank you <br><br>They are truely sick in the head."
4085,@_ID_as_Non_Bidenary MAGA BOT
4086,Crazy how the number one customer for 300 dollar designer boots is people who make about 400 dollars a week.
4087,HR I swear they take one psych class and act as if they’re experts on human behavior.
4088,"Sorry, dang I’m about three minutes into this and not feeling a lot of sympathy for these “family farmers” working for Monsanto doing monocropping…<br><br>Might be time to switch up your business model try something I don’t know a little closer to the Earth like the biggest little farm….You know the one that made the movie about. <br><br><a href=""http://www.youtube.com/results?search_query=%23toughlove"">#ToughLove</a>"
4089,"What&#39;s weird is we all feel lonely, in this comment section, and I feel like we could all join a Facebook group so that we could actually get to know each other and then the loneliness would end, no? PS. am I the only person over fifty watching this video because all the people in the comment section seem to be young or at school ? 😊"
4090,"US always active in War but they dont have solution for the homeless, any goverment in the world need to do someting to the homeless people!"
4091,"@thehouseofsharky5536 I mean... it&#39;s all in the video, my friend. Even the kid staring down at the native american as if he&#39;s better than him. I&#39;ve seen that behavior many times in kids who think they are better than others. But it&#39;s ok, I understand that I &quot;might&quot; be wrong, but I couldn&#39;t find any evidence that states that these teenagers are not Trump supporters. If you don&#39;t mind, could you please send me a link to this google search you did?"
4092,"More western bullshit &quot;Dictatorships destabilize democratic Nations&quot; . Thank- you for narrating the story for Western oligarchs though, it is western democracies that have the monopoly on violence and destruction. Now carry - on with the storyline."
4093,I wish there is no more “right” or “left”. As the government is destroying everyone no matter who you choose.
4094,My father is a similar mix and I identify with this. So confusing. I have two siblings and I feel like between us we had 9 different dads.
4095,Yet the boomers and GOP corporate bootlickers will tell you to &quot;just work harder&quot; and &quot;pick yourself up by your bootstraps&quot; like that will magically fix all the problems in the world. What a farce!
4096,"It’s like the Korean Costa Concordia, and the Korean captain Scettino - same misleading. Only difference is that Italian Coast Guard did their job right and survived most of passengers. <br>This one is an unbelievable disaster…"
4097,In 2026 we found out that all of this garbage is part and parcel part of the Epstein class and watched all the good guys get shifted over to hurting immigrants instead of hunting down Trumps fellow criminals. 😢
4098,"There aren’t too many nations that  actually do support women though, if we’re truly honest ahem <b>*America*</b> ahem"
4099,Proves she shouldn’t be an educator. You don’t just quit and give up on the students ur teaching.. you sit down and keep trying until they understand or find a new profession.
4100,"Sorry there just arent enough biologists to determine who is what? Don&#39;t want to assume. But hearing a media head whining about men, when they are the font that allows all of it by not doing their job like investigative journalism or really report truth to power to the people."
4101,"I work in flint and the company i work for put filters on all the drinking fountains and no one drinks the water from them and about 80% of all the people that work there live in flint and everyone i have talked to said they wont ever drink the water in flint again no matter if they fix it or not, i know i wont ever drink the water i dont care who says its safe."
4102,"They are oppressed economically by what they don&#39;t want to know. They have zero skills and most probably, they don&#39;t even know how to think. Rubbish people!."
4103,My Mum&#39;s just like that she does it to me even at the age of 33.
4104,Why shoyld people be forced to sell?  Apartments are far more expensibe with all the servive charges.
4105,"Yes because it’s a common thing for us people of color. Asians, blacks, Hispanics, Middle East. We deal with racism all the time and it’s to a point where we just laugh or smile not because it’s funny but to literally realize what was said and to hide the uncomfortable mindset of wow this will never end. Plus we don’t play victim. Well a lot don’t maybe some do but the old school ones don’t"
4106,This should be considered human trafficking and so called<br>husband is pedafile child meloster her parents are crazy they sold there daughter to torture and abuse
4107,"The US has been completely destroyed by design. This has been planned a long time ago. We are the new Rome, and we are going the way of Rome. We are already seeing the signs of collapse everywhere. I hope this gets a lot more views, as its importance can&#39;t be overstated enough. Thank you."
4108,"@miketrav SF has higher pay, you chimp."
4109,"I did this with my mom, too  (NC). At that point, it made all the difference in my mental health."
4110,"The people most involved in the so called &#39;social justice&#39; scene at universities are the worst offenders for this kind of behaviour , so I doubt if this problem will ever be fixed , because every time they get together they have a good old laugh about all the people they have cancelled from participating in university student life and left as social pariahs because of a rumour or someone having a grudge to settle. Even the slightest hint that you are not 101% progressive and left leaning is a social death sentence , if you are a moderate then you better keep your mouth shut and not question them , or ask why people are being cancelled ...  <br><br>In my case a totally unfounded rumor about me supporting Trump left me as a social outcast that nobody would talk to . (I actually supported Sanders rather than Clinton , but they did not even let me explain, once I was  cancelled it was like I had become a mute to them)"
4111,i wonder how they are just denying all the facts that is happening in front of the world . shame
4112,I’ve thought about this a lot and it honestly bothers me that no one has come up with a solution so here is what I think. I feel people that enable this behavior to happen are just as much a problem as the issue at hand and therefore should be punished. I think the trick is finding the right punishment. In a worst case scenario the company does not recognize that there was sexual harassment and the victim is unable to speak up. At any time that the victim chooses to speak up the perpetrators and the victim must lose their job however the victim will receive pay and job finding services from the company until the victim has found their new job. This puts pressure on the company to crack down on managing sexual harassment in the workplace and prevents any victim from taking advantage of the perpetrator or company. I guess the victim could flake on interviews for a new job to continue the pay so it’s not a full proof plan but I feel it goes somewhere.
4113,"I feel these people, i got bullied in school to.. because i was a fan of Michael Jackson, they called him so many names.. they even used to beat me up, with 5 people ...just because i am a fan of Michael Jackson."
4114,"I’m 21, a dental student, who is currently suffering from depression due to overthinking. Also I’m the type of person who always has body dysmorphia and I try to change for myself for the person I love. But this video really motivates me and change my perspective. Thanks for this video🙏🏻❤️"
4115,"@philonetic The Plass papers I gave you are definitive, have not been retracted, and support AGW.

You have yet to read them and will not read them, since you are not actually looking for evidence.  You have no interest in the truth.  Admit it, please."
4116,"good points. :)  i definitely agree with the points you bring up. some kind of pressure or encouragement must be made :).  The stupid thing that could be done here is that we could just hope the younger Islamic German generations that appear in Germany to assimilate in a calm and efficient manner instead of a hostile enclave. Germany is in quite of a pickle, the outcome wont be as horrific i bet since naturally their is a some form of natural pressure ( The history of the land around them/people/The teachings the children will receive) that falls upon immigrants. I do see a negative thou, the pressure is so weak that it will take a lot of generation until it takes effect :[. So many annoying problems for Germany i wish them luck :p <br>Thank you for the mature and logical response, u re-taught me about the pressure aspect of assimilation. i forgot about it :P"
4117,I went no contact with my ex best friend. People always ask me how she is and if I talk to her. I have to keep saying we don’t talk anymore and everybody always tells me to fix it because we were friends for so long. It’s been a year since I’ve talked to her and my mom (who knows the whole story) still bugs me about it. Guess who will be next🫶(she keeps saying it’s my fault because I was being a bad friend even though she was horrible to me and i tried to fix it but she won’t try too)<br><br>My mom also loves to gas light me and emotionally manipulate me (she picks out my insecurities and weaponizes them against me when she’s mad and then blames me when I say I didn’t like that that it was my fault for making her mad) she loves to use my relationship too. I have a bit of trama in that area and she likes to say my bf will leave me if I don’t do xyz(what she wants). Like ok miss girl how is your second soon to be ex husband?
4118,All the more reasons why its so hard for something like &quot;Universal Basic Income&quot; to not work.<br>People who make money through all the bureaucracy are making sure that never happens.<br><br>Just give everyone some money no questions asked. It saves money and fixes our incentives.
4119,"I have watched many videos like this one.  They all fail on the same point.  Yes, we have the technology and, yes, if we act quickly, there is still time (maybe).  But no, these videos never explore the hurtles that must be crossed to make real progress.  How do we force the politicians to legislate the required laws?  How do we enforce these new environmental laws when we don’t enforce the ones already on the books?  It is tempting to blame big oil, but the root problem is deeper than a few greedy billionaires.  Our economic system is built around the profit motive, so cutting costs in always viewed favorably by businesses, even if doing so damages the planet.  Some how we need to replace and/or radically revise capitalism, but no alternative system is available.  Even if we invented a better economic system, how do we transition to it in a timely basis?"
4120,"@POPJack1717 and for 4 years under the trump administration. Actually it lasted longer under the Trump administration, in case you were curious. Funny though you tried to blame the federal government for a state caused issue"
4121,Shut up they belong to the kitchen.
4122,"who asked for any of this rubbish?<br>We dont need it, nobody asked for it."
4123,"I&#39;m the youngest , and yet my parents put  more effort to raise me then they did with my sister. They said that they had more hope in me sense i&#39;m better at school and sports and basically  everything. I don&#39;t see how this study is right but it is different for every family. So this is kinda false."
4124,Self care is important. I have always been somewhat a loner and i enjoyed it but working in a toxic job made me feel lonely because it became my reality.
4125,"If the water is sacred to them, then why pollute it in the first place 🤨"
4126,"Clearly you&#39;ve never experienced poverty.  Yes, maintaining an auto will keep it alive longer, but if the choice is between food and rent, car maintenance will not be on the agenda.  You don&#39;t get that?"
4127,"They just said that she was homeless lmao, no need to be a crybaby"
4128,So we will not have TB cure in that town? 😭😭
4129,NEW YORK IS A CESSPOOL OF LIBERAL COWARDS ..PROMOTING ILLEGAL CRIMINALS  WHO CAUSE THESE CRIMES
4130,The rich won&#39;t ever pay taxes the own the system we need too get eid of taxes.
4131,"Governments and schools  immediately fuck over anyone who steps in, programmed to sit and do as your told and not step out of line. Proven over the past 2 yrs with covid shit people sat at home cause a bully in government and media told them to."
4132,I should&#39;ve freed her sooner rather than later.
4133,"I visited a couple of years ago and it was the strangest, saddest experience of my life."
4134,"Trade jobs are undervalued because they&#39;re low skill, which American culture has told us means they&#39;re sub-human and deserving of all suffering that comes with it. The thought doesn&#39;t enter their minds that trades also are almost universally unionized, and thus actually get fair pay for their work, meaning they&#39;re doing WAY better than almost everyone else in the country, let alone the rest of equal skill level."
4135,***** I would assume with the title being &quot;Flint water crisis&quot; that would imply its city wide and not a couple select idiots.
4136,The President only cared about a chopper with a camera. Absolute Disgust  . It seems as if Presidential office was running a showbiz and not a government that is supposed to serve the people.
4137,Didn&#39;t grew up with a nanny or a mom beside me since my mom is one of those domestic workers abroad who takes care of other people&#39;s children imstead of their own and it&#39;s sad because I see almost the same thing with the moms with my own who don&#39;t seem to know their children that much.
4138,"These companies that says AI is the future, live service, subscription, age verifications. 2026 is the year of exposing all the mafias around the world."
4139,Ive been a teacher for 9999 years. I have concluded you’re stupid.
4140,Isolation from my ex’s Smear Campaigns and false accusation helped me out in the long-run. I started to realize it was just toxic people who were trying to isolate and marginalize me. Over the years it was a blessing in disguise.
4141,Pathetic United Nations! Prostitution and forced sex do exist but what do we call this? Pleasure Sex? Are we called humans? People should rise to crush and defeat such dictatorship. United sanctions and force should be applied to crush such dynasties.
4142,Can&#39;t get those 31 minutes back. What a waste of time. A hit piece.
4143,oh my god you again gtfo
4144,it fucking hurts to see how i went through most of these in a 2 month relationship and i’m only 16. this whole relationship has taken such a toll on me
4145,The housing shortage and high cost of living are caused by zoning laws that limit density to protect the wealthy from being impacted by the poor. <br><br>Supply and demand can&#39;t work when government is limiting the supply.
4146,Naw that’s a crack head
4147,"@greatscottvids9410 exactly, which is why I don&#39;t really talk about it to anyone"
4148,Capture the homeless woman and drench her with boiling coffee let’s see how she feels about that
4149,The government crooks push up private sector costs dickhead why landlords push up there rents when there debt goes up
4150,The council took away my garden and drying area now I have no green space.
4151,If my bully apologised to me now I’d take her jaw for a swing.
4152,literally describing my mom add to this physical abuse  for 18 years this has been my life i hate it and wanna change it the only way is to go to college im doing my best and please pray for me to get in and for everyone who is going through this awful situation
4153,60-year war on poverty in the U.S. with zero results. The cycle is intentional to keep these people dependent on the government and voting for Democrats.
4154,If a man does something you cuckhold Westerners will say woman abuse!!!!!!!!!!!!
4155,"Can’t take this video seriously for just completely ignoring imported workers and offshoring (outside of just illegal migrant workers, but rather jobs that are being taken from native born workers and given to H1Bs or completely outsourced)"
4156,"I have to look up to my family to take even the smallest decision, remembering the cruel to me happened in the past 💔😔😢"
4157,Take out it on Joe Mansion and make him pay back the state he pillaged a profited from.
4158,"Inequality in all areas. No. 1 in GDP but  “trickle down” economics is a false theory creating all this issue. I was in Laos, third world country, and I didn’t see any homeless people. I believe China doesn’t have homeless people too."
4159,"@shanedoe3462 they dont need to help anyone , use your head for a quick second and stop thinking like a clueless liberal. its their money, they owe nobody shit...."
4160,⁠@QJRamosYet English is the dominant language in America NOW. 😉
4161,"As a part of the ceremony instead of praying and bathing in it, why don&#39;t they just spend the day cleaning it...seriously imagine all those thousands of people picking up trash for a day. It would make a difference and raise more awareness for cleanliness. So frustrating."
4162,The 4 years (Temporary) deduction is a dirty trick by Congress.  If those clowns in Washington eliminate that deduction in year 5 people are going to get slammed by the tax now due they hadn&#39;t had to pay for the previous 4 years.  Temporary is B.S.
4163,It’s easy to get paid your worth when you can be a member of a union in the largest economy the world has ever known and the entire rest of the world has been recently liberated from colonialism or destroyed by a world war. Today we have to actually be economically competitive. Who wants to pay for a rich middle class worker to make their stuff when they don’t have to? America is going to have to learn to tighten their belt again. We can’t all be born Boomer.
4164,Nobody is safe with these ICE agents around people are dying and they’re are dragging disabled people around and then degrading them and making them feel like they’re not human beings is so disgusting and I blame trump for this and I even bet he’s going to try saying something about this in the next few hours trying to make it sound like she was a problem of some sort as an excuse
4165,"Don’t be so incentive, these two families and the Taliban are only practising their religion. 🙃🙃🙃🙃🙃<br> <br>You are welcome.  Thanks to the actions of successive governments, IS LAMe is coming to a street near you.  Time to smell the coffee and ask; how will this behaviour make my society better!!!!"
4166,I&#39;m so tired of &quot;winning.&quot;
4167,"Many of those cities in Texas and Louisiana! Very sad! There is one of the many cities in Texas called port Neches , the high school has a refinery near the track field. High cancer rate! I guess MAGA cult doesn’t mind family members or loved ones to suffer over their political hero or “jobs/livelihoods!” I moved from those similar areas in the south,25yrs ago. These refineries are allowed toxic emissions under the protection of the “grandfather law.” Most of them are in poverty stricken areas or black communities! Where has Americans been! This has been going on since I was a baby! I’m 62yrs old! Sad, this is just now being recognized? 🙄🤪"
4168,Existential fatigue has been with me from day one. Was born a tired soul.
4169,"I hate myself since I was born, I hate myself at a moleculer level I just hope I can die soon..."
4170,"Most of the people blame financial illiteracy.   Well, if you have all day to look at tik tok, you can google some basic financial planning.    I&#39;m not saying poverty is not real, it is.  But I also notice alot of people live beyond their means.    I notice Starbucks always has a long line.   I notice that some ladies have $100 manicures.   Everything adds up."
4171,MAGA.   You got what you voted for.
4172,"Glad I don’t bank with Wells Fargo, they are snakes for what they did"
4173,That&#39;s what I was wondering. She did her podcast on her own time and evidently it didn&#39;t interfere with her job.
4174,I hope the captain was punished ?😡😠🤬 he escaped before everyone . My god how many innocent souls were gone. May all of them R.I.P. 🌼🌼🌼🌼🌼🌼🌼🌼
4175,Zax Zumu <br>Yes that was Biden and he was also part of the Fiasco not just embarrassed by it.<br>He later apologized for not doing more for Anita Hill at the time.
4176,Repent ABC News you liberal liars! You make empty claims without evidence and manipulate your viewers! There was never a rise in hate speech! You lie like demons with human skin on disguising your wicked hearts! Shame on all the workers at ABC!
4177,"No way.  Turn up on the day they want to start building w your whole tribe and link hands and refuse to move.  No more suffering for natives!  Put the data centres on Martha&#39;s Vineyard, Mar-a-Lago, and all the places the wealthy live!"
4178,Just watch this in my car eatting my lunch break. I just saw a guy park his can across the street and put up his window shade to sleep in his car. Yup homeless is all time high
4179,"Ay bru I had a similar realization to yours and aside from the extreme cases and infamous tragedies you hear about out there, I thought I had it harder than most. &quot;Nobody told me&quot; is something that resonates intensely with me and my story, and I always felt misunderstood in this regard, so I see and acknowledge your story and hope this comment brings you some connection. Keep going brother, I know I will too."
4180,That&#39;s not society. That&#39;s a jungle bunny. We learned from tv that they can do what ever they want. Remember O.J. if someone steps in they could die while bunny gets another equality check.
4181,By 16 every kid should have learned a skill which add values in different levels than just being a muscle for the grunt labour.
4182,"<a href=""https://www.youtube.com/watch?v=8iei3HtdBbQ&amp;t=1592"">26:32</a> Yeah it&#39;s considered a win-win, because rich people get to assuage their guilt while making profit, and the middle class home owner picks up the bill with rising property taxes that aren&#39;t being paid by the developer. Win-Win for the rich, and the poor. Lose-Lose for any middle class homeowner."
4183,Blame the government letting all the migrants in. They’re letting them in for their votes.
4184,"In America, women are strong and independent. They don&#39;t need men to exert their toxic masculinity by mansplaining or getting physical or violent.  We have been taught by society that men should be gentle and show our emotions in a positive manner and that women are more than capable of speaking up for and defending themselves.  The question should not be why didn&#39;t any men do anything but where were the police?  Or more correctly, why did not anyone call the police so that they could intervene?  I think that hoody dressed person needs help and is clearly troubled or they would not have grabbed that innocent woman and caused damage to the subway. I hope they get counseling.  I hope also that the victim gets counseling for the traumatic experience of being manhandled by the hooded person."
4185,"@ArtemioMendezHernandez whether I forgive them or not, they are still the evil"
4186,"They hate us, I hate them. <br>But I have better reasons!"
4187,My mom always says that I&#39;m so so ugly and never thought that I&#39;m beautiful that broke me . <br>She never realises how much it hurts me. I worked so hard to look my best but now I really lose the ability to feel good and beautiful and wanted.
4188,Half of the comments failed the vibe check. Not much different than the racism in the video.
4189,you have human rights to eat.
4190,"You would sell your mothers for dollars,but the honesty is the Iran’s people don’t do that kassum 🤷🤷🤷"
4191,"U.S is an oligarchy, mega corps, conglomerates, transnationals and banks are the priority, the people is only cattle for them, the elite handling the whole country from the deep state."
4192,"Abusers will rarely take accountability for the abuse, please keep that in mind for your own mental health!!!!"
4193,"2,100,000 (that’s over 5,700 a day average)Mexicans migrated to the US in 2024. But only 11,000 (in one year)Americans migrated to Mexico and they are mad. They argue that it is effecting their economy. Raising prices. Everyone is outraged. But look down on the US for making the same argument.  Kinda hypocritical. I have an idea. I think Mexico should close their borders. Oh wait, then they won’t be able to send as many people to the US in 2 days that enters Mexico in ONE YEAR!! If 11,000 people causes a strain on your economy , what do you think MILLIONS will do? I would acknowledge they have a valid argument if they would do the same. Just saying. I live in south Texas where we see first hand what happens when masses cross the border."
4194,And USA say that 9/11 was worst than this
4195,Is it a toxic family when a child asks the parent to repeat something or ask to make sure of what the parent said but the parent yells at them basically saying &#39;are you serious&#39;
4196,"That is what Cheap Sellout Blood is Worth when you vote democrat , Deal with it !!!!"
4197,Ima beat her homeless ass if that was my mom that got hot coffee splashed on her
4198,So basically it’s all serbias fault for everything but they playing victim as always when they are obviously the problem.
4199,There are a lot of racists in this comment section.
4200,"Struggling to live on $100k in Mesquite, Texas? Lmao"
4201,"Every single interaction documented.  <br>That’s exactly what they don’t want <br>They also have a name for it. <br>They call it “… he said she said…” and won’t have a bar of it. <br>And if you’re in a junior position, you still get bullied even if you have consistent crystal clear boundaries."
4202,"I just learned he was arrested for DV. And also that he had a restraining order from his previous girlfriend. His mom was so nice, but enabled everything he did. Please don’t baby your kids so much that they think life owes them"
4203,This video feels like shaming the mothers… they probably have their reasons to leave the care to someone else. Don’t judge. Every human being wants to give and receive love.
4204,"I wish I had known these tactics five years ago, when I worked for a charity 😢"
4205,"@tolotamankula7718 Croats, hahah, look   Lovren, Dalic,Gvardiol, Brozovic, Bujanec, Milanovic, Pavelic, Tudjman, Ante Prkacin, and so on, all black, hahaha, and there is still standing that Serbs, are by average high in top 5 tallest nations on the world, Croats are smaller and behind Serbs on every list, because they been fcked by everyone"
4206,The law that broke immigration was the 1965 immigration bill.
4207,All Indians should leave. There is nothing left for us in Canada and the West.
4208,In Poland there&#39;s a law that apartments have to be at least 25 square meters. That of course doesn&#39;t stop developers from making 20 square meters &quot;office spaces&quot; and selling them as apartments 😂
4209,Nobody is going to help because that person/s would end getting arrested themselves !!!
4210,The only thing messier than than the river is for sure YouTube&#39;s comment section
4211,Ur a coward bro couldn’t even help the lady
4212,poor side: the parking lot
4213,It&#39;s called inflation people . There will be more unemployed people across the country as businesses struggle to survive. <br>Look at the interest rates. It&#39;s not sensable to take any loans
4214,No one deserves to be treated this way.
4215,"Omg, just horrendous! How do these people get these jobs?!"
4216,Such a jackass nation...how can it be still an ally to such an enemy?
4217,How can people pay these high rents ? The answer is that they can&#39;t. People are going homeless.
4218,What did we expect from a government that gets paid without consequence of policies
4219,I totally disagree with that guy saying that. It comes from a place of frustration with the governments and general media portrayal of indigenous people. So I get it. But at the same time things are too different now for either us to go back to our roots.
4220,"Fucking Hypocrites! If Mexico 🇲🇽 is that good and has a viable economy why migrate to the U.S in the first place, your demands are literally a mirror reflection of what the U.S asks of all migrants"
4221,A tragic and disgraceful case of sheer incompetence on the part of the authorities. It pained me to see the captain leaving the ship first. My heart goes out to all the victims and their families. May they rest in peace.
4222,Basically if you got more money than you know what to do with it&#39;s best if you don&#39;t have it. Tax them hard!
4223,"I’m so done with this, to anyone who does this public stoning followed by a public hanging"
4224,"Actually the position of authority was constantly being misused in which the burden was overwhelming that spread like a disease and stealing from the poorer people was accepted and spread into different perspectives of more conflict of interest and not used totally to build and create the best advantage to end homelessnes amongst the people in need of a decent place to live ,but plots were made to continue piratacy and stronger authority to commit  more crimes and crisis as well as segregation and abuse.<br>         Laws and regulations that have not taken position to protect unjust perspectives of these pacific crimes that continue to cause conflict and unbalance that has been used to sneak and spread and cause these issues of greed"
4225,You should really fact check and not rely on just one source to provide your concrete evidence. If you would take about 6 hours of checking all statistics you will know that this specific article is an outlier from the analytical trend. 73%can not reach the 20% top wealth it&#39;s impossible in economics especially with the national unemployment and poverty rates. Smh
4226,Disgusting and evil are the ones who mistreat elderly and children
4227,So usa has billions dollars for wars and 0 $ for this aid ??? Sick sick people and world !!!!
4228,People complaining in the west while China is learning to how to maximise the technology and understand English better than the west<br><br>…oh she’s promoting herself to teach how to use it lmao that’s why
4229,"Supply and demand. They were called baby boomers because they had a ton of kids. More people seeking housing = housing prices go up. A ton of people also died during WW2 and Vietnam, so there were more houses than people that needed housing until Gen X and older Millennials grew up. Crazy amounts of immigration don&#39;t help the problem, either. <br><br>Same with wages, supply and demand. More people available to work = lower wages. If nobody was willing to work for pennies, employers would have to raise wages, but with more workers than available job openings, companies get to pick and choose. There is always someone willing to do the job cheaper, especially when they come from a place where living with their parents and grandparents is normal; they aren&#39;t concerned with earning a wage that would allow them to live alone.<br><br>People like to blame those that buy second homes and corporations for the housing prices, but even collectively they don&#39;t have as big of an impact as the increase in population does on supply and demand, and they have zero affect on wages.<br><br>People getting married later in life or not marrying at all is also part of the problem. In the past, people would get married in their early 20&#39;s, meaning two people only required a single house after moving out of their parents. Now people get married in their 30&#39;s and 40&#39;s, meaning they require individual housing. With married people both being expected to earn an income, that also increased the price of housing and lowers wages. You will notice that current income is about half of what it used to be, adjusted for inflation... because two people per household are expected to work.<br><br>This affects rent as well as home prices, but an additional factor in home prices is that ever changing building codes and the permitting process makes building new houses more difficult and expensive, to the point that builders can only turn a profit if they build &#39;luxury&#39; housing. There are no starter homes being built anymore due to the low profitability. For example, in my area, all new housing requires solar panels, backup batteries, EV chargers, high-efficiency HVAC, and a fire sprinkler system. Adding those things individually isn&#39;t a huge deal, but all together they increase the price of a new home by 50-75k over one without those things. This indirectly increases the price of older homes, because they will still sell as long as they are cheaper than the newer ones."
4230,"I tried to help a woman once, she was calling for help and some man was beating her in the parking lot late at night. I called the police and went up to them. When the police came it turned out this man was her husband and she was already happy hugging him, and I was made a fool. I risked my health to help that b tch and she made fool of me, I said to myself that I will never help any unknown woman in public anymore. Only my mom is worthy of help."
4231,I don’t order shein. It’s not worth it and the fact that these poor people go through this like it’s america during the early 1900s makes me mad.
4232,American: &quot;Go Back to your Land Red Skin&quot;<br>Natives: &quot;Go Back To Europe then&quot;<br>European: &quot;Please No You Can Keep them&quot;<br>Natives: &quot;No&quot;
4233,"fuck man, hatred has grown in the Mexican harts"
4234,I feel emotionally numb and I miserable. Anytime something bad happens in my life or something goes wrong I don’t even care anymore. I go to work late &amp; I sleep late all the time.
4235,Rohan The ಮಂಗಳೂರು guy  I have been to Rameshwaram and nearby areas. Its filthy near the beach. I was hopeful of good tour to Rameshwaram Dhanushkoti but it&#39;s embarrassing.
4236,Uhh wtf? Cnn couldnt cough up the 2000 dollars to save a little girl??
4237,"Sounds like the Tennessee church  won and has taken over many of the (former) Christian churches.  Real Christians need to take a close at their churches and lead them back to our Lord in the Bible.  Evil people have taken over our churches - if Christ is never mentioned, if his teachings aren’t taught, those churches are not Christian."
